device_id,window_id,label,dC,dL,dP,dE,dF,dS,dT,cyc_per_us,lsu_per_cyc,cpi_per_cyc,exc_per_cyc,fold_per_cyc
1,576,1,15000000,6449,5813,2648,6259,0,100000,150.000000,0.000430,0.000388,0.000177,0.000417
1,577,1,15000000,6051,6426,2670,5036,0,100000,150.000000,0.000403,0.000428,0.000178,0.000336
1,578,1,15000000,6093,6345,2832,6126,0,100000,150.000000,0.000406,0.000423,0.000189,0.000408
1,579,1,15000000,6218,6043,2664,6564,0,100000,150.000000,0.000415,0.000403,0.000178,0.000438
1,580,1,15000000,6524,6416,2705,5757,0,100000,150.000000,0.000435,0.000428,0.000180,0.000384
1,581,1,15000000,7106,6449,2983,6730,0,100000,150.000000,0.000474,0.000430,0.000199,0.000449
1,582,1,15000000,6496,6155,2768,6561,0,100000,150.000000,0.000433,0.000410,0.000185,0.000437
1,583,1,15000000,6592,5929,2704,5807,0,100000,150.000000,0.000439,0.000395,0.000180,0.000387
1,584,1,15000000,6163,7322,2793,6171,0,100000,150.000000,0.000411,0.000488,0.000186,0.000411
1,585,1,15000000,6460,6781,2906,6438,0,100000,150.000000,0.000431,0.000452,0.000194,0.000429
1,586,1,15000000,5944,6452,2687,5885,0,100000,150.000000,0.000396,0.000430,0.000179,0.000392
1,587,1,15000000,6066,7077,2903,5247,0,100000,150.000000,0.000404,0.000472,0.000194,0.000350
1,588,1,15000000,6644,6438,2983,6737,0,100000,150.000000,0.000443,0.000429,0.000199,0.000449
1,589,1,15000000,7108,6534,2704,5707,0,100000,150.000000,0.000474,0.000436,0.000180,0.000380
1,590,1,15000000,5989,6212,2713,5175,0,100000,150.000000,0.000399,0.000414,0.000181,0.000345
1,591,1,15000000,6232,6449,2881,6097,0,100000,150.000000,0.000415,0.000430,0.000192,0.000406
1,592,1,15000000,6450,6485,2781,6983,0,100000,150.000000,0.000430,0.000432,0.000185,0.000466
1,593,1,15000000,6297,6570,2666,5955,0,100000,150.000000,0.000420,0.000438,0.000178,0.000397
